user_id,total_views,average_rating,unique_movies
119,18,3.06,18
120,18,3.5,18
121,17,3.53,17
122,9,3.67,9
123,8,2.62,8
124,14,3.0,14
125,19,3.21,19
126,5,4.2,5
127,18,2.94,18
128,9,3.22,9
129,12,2.83,12
130,14,3.14,14
131,17,2.94,17
132,12,2.5,12
133,13,2.46,13
134,15,3.47,15
135,20,3.1,20
136,15,3.0,15
137,15,3.53,15
138,6,3.67,6
139,16,2.94,16
140,15,2.6,15
141,15,2.6,15
142,16,3.06,16
143,8,3.0,8
144,18,3.0,18
145,15,2.53,15
146,14,3.29,14
147,8,2.38,8
148,9,2.89,9
149,9,3.22,9
150,6,3.0,6
151,11,2.91,11
152,9,3.78,9
153,19,2.84,19
154,11,3.36,11
155,6,3.33,6
156,10,2.3,10
157,7,2.29,7
158,20,2.55,20
159,10,3.2,10
160,10,3.7,10
161,5,3.4,5
162,17,2.65,17
163,7,2.86,7
164,17,3.76,17
165,10,3.0,10
166,9,2.78,9
167,7,3.0,7
168,11,2.91,11
169,9,2.56,9
170,8,3.12,8
171,11,3.09,11
172,13,2.62,13
173,15,2.93,15
174,12,2.58,12
175,12,2.5,12
176,20,2.55,20
177,8,3.5,8
178,16,3.44,16
179,15,2.6,15
180,9,4.11,9
181,10,3.2,10
182,9,3.89,9
183,9,3.56,9
184,8,3.62,8
185,6,2.67,6
186,13,3.31,13
187,11,2.91,11
188,15,2.8,15
189,18,3.11,18
190,18,3.44,18
191,8,3.62,8
192,14,2.64,14
193,17,2.71,17
194,6,3.17,6
195,19,3.32,19
196,19,3.26,19
197,15,3.4,15
198,9,3.11,9
199,16,3.12,16
200,10,2.5,10
201,20,3.05,20
202,11,2.45,11
203,8,2.25,8
204,17,2.71,17
205,12,3.08,12
206,18,2.89,18
207,9,2.67,9
208,11,3.55,11
209,15,3.73,15
210,17,2.35,17
211,19,3.21,19
212,12,3.17,12
213,20,2.8,20
214,17,3.12,17
215,8,2.5,8
216,7,3.29,7
217,15,2.4,15
218,18,3.44,18
219,20,3.2,20
220,8,3.38,8
221,6,3.67,6
222,11,3.18,11
223,20,3.15,20
224,13,3.08,13
225,10,2.4,10
226,6,3.67,6
227,5,3.2,5
228,8,2.88,8
229,14,3.21,14
230,15,3.07,15
231,7,3.57,7
232,17,2.41,17
233,18,3.11,18
234,19,2.32,19
235,14,3.21,14
236,15,2.53,15
237,6,3.0,6
238,19,2.79,19
239,15,2.87,15
240,18,3.22,18
241,9,3.33,9
242,11,2.18,11
243,5,2.0,5
244,14,3.57,14
245,7,2.29,7
246,10,3.1,10
247,5,3.6,5
248,15,3.2,15
249,18,2.61,18
250,11,3.09,11
251,11,3.27,11
252,5,3.2,5
253,14,2.71,14
254,17,3.06,17
255,20,2.25,20
256,6,4.17,6
257,7,2.57,7
258,5,2.4,5
259,20,2.9,20
260,15,3.0,15
261,17,2.59,17
262,6,2.83,6
263,5,3.0,5
264,7,3.29,7
265,15,3.07,15
266,16,2.25,16
267,14,3.36,14
268,19,3.32,19
269,20,3.0,20
270,17,3.18,17
271,16,2.75,16
272,6,3.67,6
273,16,2.81,16
274,6,3.17,6
275,15,2.8,15
276,11,2.09,11
277,12,3.17,12
278,18,2.94,18
279,17,3.41,17
280,18,3.11,18
281,6,3.5,6
282,17,3.06,17
283,16,2.81,16
284,13,2.62,13
285,15,2.4,15
286,14,2.93,14
287,17,3.0,17
288,10,2.7,10
289,11,3.45,11
290,14,3.36,14
291,7,3.14,7
292,11,2.82,11
293,7,3.29,7
294,19,2.74,19
295,19,3.26,19
296,14,3.29,14
297,18,2.94,18
298,14,2.71,14
299,17,2.53,17
300,18,3.06,18
301,6,3.17,6
302,5,2.2,5
303,5,3.2,5
304,19,3.0,19
305,7,3.0,7
306,15,2.67,15
307,18,3.22,18
308,16,2.75,16
309,20,2.55,20
310,19,3.37,19
311,12,3.5,12
312,9,2.89,9
313,12,2.5,12
314,9,3.11,9
315,5,3.8,5
316,7,2.29,7
317,16,3.25,16
318,19,3.37,19
319,12,3.17,12
320,11,3.27,11
321,19,3.42,19
322,9,2.33,9
323,8,3.75,8
324,15,2.8,15
325,15,2.4,15
326,14,2.79,14
327,11,3.55,11
328,20,3.15,20
329,18,2.94,18
330,5,3.8,5
331,7,3.43,7
332,17,2.47,17
333,10,3.0,10
334,13,3.69,13
335,5,3.6,5
336,17,2.94,17
337,15,3.73,15
338,20,2.75,20
339,18,2.94,18
340,10,3.0,10
341,7,2.14,7
342,12,2.5,12
343,5,3.2,5
344,16,2.69,16
345,12,3.42,12
346,11,2.64,11
347,12,3.17,12
348,7,4.0,7
349,18,2.56,18
350,10,2.3,10
351,8,2.88,8
352,13,3.31,13
353,13,3.54,13
354,17,2.53,17
355,10,3.2,10
356,16,3.0,16
357,16,3.06,16
358,6,2.67,6
359,17,3.12,17
360,16,3.06,16
361,5,3.0,5
362,18,3.33,18
363,6,3.83,6
364,11,3.36,11
365,18,2.33,18
366,10,3.3,10
367,12,3.33,12
368,18,2.61,18
369,15,2.87,15
370,6,3.67,6
371,6,3.33,6
372,6,3.17,6
373,20,2.85,20
374,5,2.2,5
375,20,3.25,20
376,7,3.86,7
377,17,3.06,17
378,11,2.36,11
379,14,2.71,14
380,15,2.33,15
381,10,3.5,10
382,17,3.18,17
383,13,3.08,13
384,6,3.0,6
385,10,3.4,10
386,5,3.8,5
387,10,2.7,10
388,20,3.15,20
389,9,2.89,9
390,16,3.12,16
391,8,2.0,8
392,10,2.0,10
393,19,2.79,19
394,17,2.29,17
395,15,3.27,15
396,10,2.1,10
397,8,3.5,8
398,14,2.79,14
399,19,3.0,19
400,17,3.18,17
401,5,3.6,5
402,10,2.9,10
403,16,3.12,16
404,19,2.84,19
405,20,3.1,20
406,17,3.35,17
407,17,3.0,17
408,10,3.4,10
409,17,3.12,17
410,10,3.7,10
411,14,3.64,14
412,14,2.64,14
413,6,3.17,6
414,11,3.09,11
415,12,2.83,12
416,8,2.12,8
417,5,2.4,5
418,10,2.4,10
419,15,3.33,15
420,18,3.17,18
421,8,3.88,8
422,9,2.78,9
423,12,2.83,12
424,11,2.82,11
425,15,3.0,15
426,17,3.41,17
427,18,3.11,18
428,12,3.08,12
429,19,3.16,19
430,9,3.67,9
431,16,3.0,16
432,5,2.2,5
433,8,2.88,8
434,6,4.17,6
435,12,2.75,12
436,7,3.43,7
437,15,3.07,15
438,20,2.75,20
439,8,3.5,8
440,14,2.71,14
441,7,2.43,7
442,18,3.67,18
443,8,3.0,8
444,12,2.83,12
445,6,3.33,6
446,9,3.11,9
447,12,3.33,12
448,17,3.06,17
449,11,3.45,11
450,5,2.0,5
451,16,3.0,16
452,10,3.4,10
453,8,3.62,8
454,10,3.3,10
455,18,2.72,18
456,6,3.0,6
457,19,3.42,19
458,19,2.89,19
459,16,3.19,16
460,8,2.5,8
461,5,3.6,5
462,8,2.25,8
463,8,4.0,8
464,15,3.13,15
465,20,3.05,20
466,14,3.14,14
467,17,2.76,17
468,13,2.69,13
469,12,3.0,12
470,17,2.41,17
471,18,3.17,18
472,8,2.62,8
473,11,3.27,11
474,12,2.83,12
475,20,2.75,20
476,19,2.53,19
477,15,3.33,15
478,19,2.89,19
479,11,3.18,11
480,16,2.75,16
481,9,2.33,9
482,6,2.83,6
483,12,2.75,12
484,12,2.25,12
485,12,3.0,12
486,5,3.6,5
487,8,2.5,8
488,19,2.79,19
489,5,3.4,5
490,16,3.06,16
491,20,2.35,20
492,7,2.71,7
493,16,2.88,16
494,19,3.11,19
495,14,2.79,14
496,8,2.0,8
497,8,3.0,8
498,11,3.18,11
499,12,3.67,12
500,14,3.43,14
501,15,3.33,15
502,13,3.46,13
503,17,2.65,17
504,9,2.44,9
505,13,2.77,13
506,6,4.0,6
507,6,3.0,6
508,13,2.85,13
509,13,2.85,13
510,12,2.75,12
511,17,2.76,17
512,5,2.0,5
513,9,3.11,9
514,16,2.56,16
515,8,2.75,8
516,12,3.08,12
517,16,2.81,16
518,11,2.64,11
519,16,3.19,16
520,6,2.0,6
521,15,3.27,15
522,20,2.9,20
523,6,2.67,6
524,12,2.83,12
525,6,3.5,6
526,10,3.3,10
527,5,3.2,5
528,16,3.0,16
529,9,3.11,9
530,20,3.5,20
531,17,2.71,17
532,8,3.25,8
533,19,2.79,19
534,16,2.94,16
535,9,2.0,9
536,7,3.43,7
537,8,3.12,8
538,14,3.14,14
539,15,2.8,15
540,11,3.36,11
541,14,3.29,14
542,14,2.86,14
543,12,2.83,12
544,18,2.83,18
545,9,3.67,9
546,10,1.8,10
547,12,3.58,12
548,13,2.69,13
549,17,2.47,17
550,15,2.67,15
551,16,2.94,16
552,8,2.0,8
553,13,3.31,13
554,13,3.46,13
555,19,2.79,19
556,15,2.73,15
557,11,2.91,11
558,16,3.06,16
559,15,2.8,15
560,6,3.5,6
561,7,2.43,7
562,17,3.53,17
563,5,3.4,5
564,18,3.0,18
565,6,2.83,6
566,6,3.17,6
567,18,3.22,18
568,11,2.91,11
569,5,3.2,5
570,11,3.36,11
571,15,2.47,15
572,16,2.88,16
573,14,3.0,14
574,12,3.08,12
575,12,3.42,12
576,10,2.6,10
577,7,2.57,7
578,5,3.0,5
579,5,2.6,5
580,16,3.12,16
581,15,2.87,15
582,11,3.27,11
583,10,3.0,10
584,16,3.75,16
585,19,3.05,19
586,10,3.2,10
587,10,2.8,10
588,13,2.92,13
589,19,3.47,19
590,9,3.22,9
591,20,2.95,20
592,20,2.8,20
593,6,2.83,6
594,9,2.22,9
595,15,2.53,15
596,20,3.05,20
597,11,4.18,11
598,13,2.85,13
599,13,3.23,13
600,7,2.71,7
601,13,3.08,13
602,6,3.83,6
603,15,2.87,15
604,15,2.87,15
605,16,2.44,16
606,6,4.17,6
607,7,3.43,7
608,11,2.82,11
609,8,2.25,8
610,16,3.56,16
611,9,2.89,9
612,20,3.1,20
613,20,2.8,20
614,13,2.08,13
615,16,2.69,16
616,8,3.25,8
617,5,2.4,5
618,14,2.5,14
619,11,2.64,11
620,8,3.5,8
621,17,3.0,17
622,15,2.87,15
623,7,4.14,7
624,8,3.62,8
625,19,3.26,19
626,18,3.5,18
627,16,2.88,16
628,11,2.27,11
629,18,3.5,18
630,14,3.36,14
631,14,2.71,14
632,19,3.21,19
633,16,2.81,16
634,7,3.14,7
635,6,2.67,6
636,17,3.06,17
637,10,2.9,10
638,20,2.9,20
639,5,2.8,5
640,12,3.25,12
641,10,3.0,10
642,8,3.62,8
643,11,2.36,11
644,18,3.5,18
645,13,3.31,13
646,19,2.58,19
647,20,3.1,20
648,6,2.83,6
649,13,3.0,13
650,7,2.57,7
651,20,2.4,20
652,14,2.64,14
653,18,2.83,18
654,6,2.67,6
655,11,3.45,11
656,11,2.73,11
657,16,3.12,16
658,11,3.0,11
659,13,2.85,13
660,10,3.6,10
661,10,3.1,10
662,13,2.92,13
663,13,3.85,13
664,5,2.8,5
665,6,3.67,6
666,16,3.62,16
667,16,3.69,16
668,9,3.11,9
669,12,3.33,12
670,8,3.62,8
671,17,3.12,17
672,8,3.5,8
673,5,3.8,5
674,7,2.86,7
675,10,3.5,10
676,18,2.67,18
677,8,2.75,8
678,6,3.83,6
679,20,2.8,20
680,16,2.81,16
681,5,3.2,5
682,10,3.0,10
683,5,3.8,5
684,15,3.4,15
685,16,3.06,16
686,20,3.1,20
687,13,2.62,13
688,6,2.83,6
689,12,2.75,12
690,17,2.82,17
691,19,2.84,19
692,9,2.67,9
693,14,2.79,14
694,13,3.23,13
695,5,1.6,5
696,16,3.06,16
697,12,3.25,12
698,10,2.8,10
699,20,2.95,20
700,5,3.0,5
701,17,3.41,17
702,12,2.5,12
703,11,3.27,11
704,10,3.2,10
705,10,2.9,10
706,8,2.88,8
707,7,2.43,7
708,20,3.25,20
709,17,3.53,17
710,17,2.65,17
711,12,2.5,12
712,9,2.78,9
713,11,2.55,11
714,18,3.28,18
715,15,3.0,15
716,14,2.43,14
717,7,3.14,7
718,18,2.44,18
719,11,3.73,11
720,12,2.83,12
721,20,3.05,20
722,17,2.59,17
723,7,3.43,7
724,8,3.38,8
725,11,3.18,11
726,9,2.89,9
727,19,3.11,19
728,5,3.4,5
729,13,2.85,13
730,15,2.87,15
731,14,2.93,14
732,9,3.33,9
733,15,3.27,15
734,18,3.28,18
735,20,3.45,20
736,7,2.71,7
737,18,2.5,18
738,9,3.11,9
739,19,3.37,19
740,16,3.19,16
741,14,3.07,14
742,9,2.78,9
743,18,3.22,18
744,18,2.33,18
745,8,3.62,8
746,7,3.0,7
747,5,3.6,5
748,11,3.09,11
749,9,2.67,9
750,15,2.87,15
751,14,3.14,14
752,15,2.47,15
753,11,3.64,11
754,14,3.79,14
755,12,3.58,12
756,17,3.76,17
757,18,3.67,18
758,20,3.4,20
759,5,2.8,5
760,15,2.8,15
761,5,2.6,5
762,6,2.67,6
763,16,2.44,16
764,20,2.55,20
765,9,2.33,9
766,15,3.13,15
767,20,3.3,20
768,20,3.25,20
769,6,3.83,6
770,7,3.14,7
771,17,2.82,17
772,15,3.0,15
773,17,2.88,17
774,9,3.11,9
775,20,2.85,20
776,8,3.0,8
777,18,2.89,18
778,8,3.25,8
779,13,3.0,13
780,12,3.58,12
781,8,3.0,8
782,19,2.84,19
783,16,3.44,16
784,14,2.93,14
785,14,2.93,14
786,7,3.43,7
787,5,2.2,5
788,5,3.2,5
789,15,2.93,15
790,16,2.88,16
791,15,3.0,15
792,5,3.4,5
793,13,2.54,13
794,17,3.18,17
795,10,2.9,10
796,12,3.5,12
797,20,3.25,20
798,15,3.53,15
799,9,2.67,9
800,19,3.47,19
801,18,2.67,18
802,18,2.72,18
803,12,2.5,12
804,11,3.64,11
805,13,3.46,13
806,13,2.62,13
807,12,2.5,12
808,6,3.5,6
809,7,2.43,7
810,13,2.77,13
811,13,2.54,13
812,5,2.4,5
813,9,2.67,9
814,8,2.75,8
815,20,2.3,20
816,13,3.46,13
817,7,2.29,7
818,16,2.88,16
819,7,2.86,7
820,9,3.44,9
821,17,3.06,17
822,13,3.08,13
823,13,3.0,13
824,8,3.0,8
825,20,2.95,20
826,11,3.18,11
827,13,2.69,13
828,13,2.08,13
829,18,3.33,18
830,16,2.94,16
831,20,2.75,20
832,13,3.69,13
833,7,2.86,7
834,5,3.0,5
835,5,2.8,5
836,18,2.67,18
837,9,2.22,9
838,16,3.69,16
839,20,3.0,20
840,17,3.47,17
841,16,2.5,16
842,15,2.93,15
843,20,2.45,20
844,12,2.92,12
845,20,2.8,20
846,14,2.71,14
847,17,3.24,17
848,6,3.17,6
849,19,3.16,19
850,18,3.44,18
851,6,1.83,6
852,19,3.05,19
853,13,3.0,13
854,19,2.32,19
855,7,3.29,7
856,20,3.05,20
857,7,3.14,7
858,6,2.83,6
859,11,3.27,11
860,11,2.64,11
861,17,3.12,17
862,16,2.44,16
863,13,2.92,13
864,10,2.5,10
865,6,2.17,6
866,15,2.53,15
867,8,3.0,8
868,16,3.5,16
869,20,3.2,20
870,20,2.85,20
871,6,2.67,6
872,12,2.83,12
873,7,3.0,7
874,19,3.05,19
875,7,2.71,7
876,13,3.08,13
877,9,3.56,9
878,12,2.58,12
879,8,2.88,8
880,18,3.33,18
881,6,3.83,6
882,10,3.3,10
883,18,3.06,18
884,16,3.56,16
885,8,2.62,8
886,14,3.5,14
887,8,3.12,8
888,16,3.12,16
889,8,2.88,8
890,11,3.36,11
891,10,2.8,10
892,5,2.8,5
893,19,2.84,19
894,14,3.5,14
895,10,3.0,10
896,5,2.6,5
897,11,3.36,11
898,18,2.72,18
899,9,2.44,9
900,13,3.0,13
901,6,2.33,6
902,17,2.24,17
903,7,2.14,7
904,15,2.73,15
905,20,2.4,20
906,5,3.6,5
907,7,3.14,7
908,13,2.69,13
909,14,3.21,14
910,20,3.15,20
911,10,3.2,10
912,7,3.0,7
913,8,3.88,8
914,20,3.05,20
915,18,2.83,18
916,8,2.12,8
917,10,2.9,10
918,16,3.0,16
919,17,3.06,17
920,16,2.19,16
921,5,2.4,5
922,6,1.83,6
923,14,2.71,14
924,20,2.85,20
925,17,2.88,17
926,15,3.13,15
927,10,3.1,10
928,20,2.55,20
929,16,2.75,16
930,9,3.33,9
931,13,3.08,13
932,5,3.0,5
933,20,3.0,20
934,15,3.13,15
935,7,3.0,7
936,15,2.8,15
937,11,2.27,11
938,17,3.29,17
939,19,2.89,19
940,14,1.86,14
941,12,3.0,12
942,20,3.35,20
943,11,2.45,11
944,9,3.56,9
945,14,3.14,14
946,19,3.26,19
947,17,2.35,17
948,16,2.75,16
949,6,3.5,6
950,12,3.0,12
951,8,2.5,8
952,18,3.0,18
953,11,2.73,11
954,18,3.44,18
955,6,3.67,6
956,16,2.94,16
957,17,3.0,17
958,11,2.64,11
959,14,2.79,14
960,6,2.5,6
961,5,1.8,5
962,11,3.09,11
963,8,3.5,8
964,17,3.06,17
965,16,2.62,16
966,10,3.4,10
967,15,3.33,15
968,7,2.86,7
969,20,2.95,20
970,19,2.84,19
971,12,3.25,12
972,7,2.57,7
973,7,3.43,7
974,16,3.31,16
975,15,2.93,15
976,15,2.67,15
977,6,2.17,6
978,9,2.78,9
979,13,3.0,13
980,15,3.13,15
981,20,2.45,20
982,9,2.78,9
983,19,3.05,19
984,15,2.8,15
985,5,3.4,5
986,8,2.62,8
987,19,2.74,19
988,18,3.06,18
989,6,3.17,6
990,18,2.72,18
991,13,3.15,13
992,6,2.83,6
993,6,2.5,6
994,12,3.0,12
995,13,2.92,13
996,7,2.71,7
997,15,2.27,15
998,17,2.76,17
999,8,3.0,8
1000,14,2.79,14
